"","xfit","Mon_PDF_yfit","Sid_NPDF_yfit","Sid_GPDF_yfit"
"1",0.1,0.0041362081374405,0.0394466734410155,0.0014517818922168
"2",0.2,0.0256009105479096,0.0424335189046538,0.00574310194659951
"3",0.3,0.057280651080445,0.0455618775431855,0.0124409792635563
"4",0.4,0.0902457568656975,0.0488301521578377,0.0210612364452973
"5",0.5,0.120103349154923,0.0522358232326517,0.0311487049056683
"6",0.6,0.145266920144016,0.0557754021584054,0.0422945192005881
"7",0.7,0.165507360387939,0.0594443904424538,0.0541399092328635
"8",0.8,0.181182614805007,0.0632372457905496,0.0663751595114267
"9",0.9,0.19286332974396,0.0671473559154501,0.0787365730844089
"10",1,0.201158939983038,0.071167020880668,0.0910026200483532
"11",1.1,0.206641801755152,0.0752874447258562,0.102989828975158
"12",1.2,0.209818541713567,0.0794987370431099,0.114548704554886
"13",1.3,0.21112362076898,0.0837899250812722,0.1255598188921
"14",1.4,0.210922826214684,0.0881489768488275,0.135930151507522
"15",1.5,0.209520685820743,0.092562835566132,0.145589712493776
"16",1.6,0.207168922144684,0.0970174656858668,0.15448845975543
"17",1.7,0.204074626122658,0.101497910558295,0.162593507443774
"18",1.8,0.200407605735621,0.105988361667048,0.169886614618655
"19",1.9,0.196306745478787,0.110472239203881,0.17636193859904
"20",2,0.191885390682089,0.114932283589528,0.182024035084023
"21",2.1,0.187235847013031,0.119350657384954,0.186886086132802
"22",2.2,0.182433110974995,0.123709056875718,0.190968336980292
"23",2.3,0.177537948335375,0.127988832454576,0.194296723109683
"24",2.4,0.172599427765356,0.132171116776734,0.196901669791212
"25",2.5,0.167657003420343,0.136236959521133,0.198817047286704
"26",2.6,0.162742226096877,0.140167467462581,0.200079266017239
"27",2.7,0.157880149498758,0.143943948446022,0.200726497133448
"28",2.8,0.153090486623153,0.147548057758233,0.20079800507184
"29",2.9,0.148388561460691,0.150961945315887,0.200333579798336
"30",3,0.143786092997754,0.154168402034155,0.199373057513782
"31",3.1,0.139291841731086,0.157151003708284,0.197955919614394
"32",3.2,0.134912143347664,0.159894250733121,0.196120960656684
"33",3.3,0.130651349687453,0.162383702002946,0.193906016968389
"34",3.4,0.126512193414882,0.164606101376588,0.19134774837371
"35",3.5,0.122496089823772,0.166549495160382,0.18848146626374
"36",3.6,0.118603386761433,0.168203339153371,0.185341001943433
"37",3.7,0.114833571674972,0.169558593914177,0.181958609827547
"38",3.8,0.111185443169631,0.170607807045579,0.178364900642959
"39",3.9,0.107657253154993,0.17134518144891,0.17458880032698
"40",4,0.104246824583007,0.171766628673699,0.170657530794339
"41",4.1,0.100951648906079,0.171869806675638,0.166596609182929
"42",4.2,0.0977689666667899,0.171654141494989,0.162429862583582
"43",4.3,0.094695834043245,0.171120832574673,0.158179455615487
"44",4.4,0.0917291776914765,0.170272841649115,0.153865928529513
"45",4.5,0.0888658398292224,0.169114865347835,0.149508243809697
"46",4.6,0.086102615178082,0.16765329186838,0.145123839501317
"47",4.7,0.0834362811107194,0.165896142277799,0.140728687724911
"48",4.8,0.0808636221261514,0.163852997197295,0.13633735704191
"49",4.9,0.0783814495908207,0.161534909807587,0.131963077521331
"50",5,0.0759866175293014,0.158954306280024,0.127617807520479
"51",5.1,0.073676035120558,0.156124874887999,0.123312301337741
"52",5.2,0.0714466764491412,0.153061445182375,0.11905617702405
"53",5.3,0.0692955879718449,0.149779858721648,0.114857983753157
"54",5.4,0.0672198940861318,0.146296832930964,0.110725268250957
"55",5.5,0.0652168011245575,0.142629819722924,0.106664639872081
"56",5.6,0.0632836000474347,0.138796860546827,0.102681833989132
"57",5.7,0.0614176680623897,0.134816439541568,0.0987817734273341
"58",5.8,0.0596164693628675,0.130707336451252,0.0949686277361011
"59",5.9,0.0578775551468949,0.126488480922607,0.0912458701399744
"60",6,0.0561985630515451,0.122178809740672,0.0876163320554292
"61",6.1,0.0545772161167726,0.117797128475716,0.0840822550979229
"62",6.2,0.0530113213739435,0.113361978911934,0.0806453405359815
"63",6.3,0.0514987681389182,0.108891513509292,0.0773067961766939
"64",6.4,0.0500375260764982,0.104403378016661,0.0740673806902704
"65",6.5,0.0486256430920393,0.099914603209593,0.0709274454008352
"66",6.6,0.0472612430967358,0.0954415065726261,0.0678869735868053
"67",6.7,0.0459425236852358,0.0909996045866926,0.0649456173474666
"68",6.8,0.0446677537576184,0.0866035361198557,0.0621027321030652
"69",6.9,0.0434352711121671,0.0822669972570091,0.0593574088041994
"70",7,0.042243480030654,0.0780026877439965,0.0567085039328291
"71",7.1,0.0410908488738616,0.0738222690663342,0.0541546673820637
"72",7.2,0.039975907701708,0.0697363340346522,0.0516943683052813
"73",7.3,0.0388972459295139,0.0657543876101468,0.0493259190272813
"74",7.4,0.0378535100295643,0.0618848385755534,0.0470474971112478
"75",7.5,0.0368434012851173,0.058135001541888,0.0448571656754795
"76",7.6,0.0358656736023335,0.0545111086796551,0.0427528920532535
"77",7.7,0.0349191313841939,0.0510183304762531,0.0407325648879657
"78",7.8,0.0340026274692998,0.0476608047494904,0.0387940097539403
"79",7.9,0.0331150611374734,0.0444416730907049,0.0369350033911202
"80",8,0.0322553761832655,0.0413631238699345,0.0351532866393237
"81",8.1,0.0314225590578125,0.0384264409095936,0.0334465761549563
"82",8.2,0.0306156370789321,0.0356320569216242,0.0318125749900626
"83",8.3,0.0298336767089033,0.0329796108053242,0.0302489821104475
"84",8.4,0.0290757818990147,0.0304680079180365,0.0287535009263363
"85",8.5,0.0283410924996759,0.0280954824574771,0.0273238469057242
"86",8.6,0.0276287827346593,0.0258596611314304,0.0259577543372137
"87",8.7,0.0269380597378647,0.0237576273364912,0.024652982305797
"88",8.8,0.0262681621508659,0.0217859851210673,0.0234073199417167
"89",8.9,0.0256183587794003,0.0199409222675433,0.0222185909992738
"90",9,0.0249879473069005,0.018218271892899,0.0210846578192424
"91",9.1,0.0243762530631208,0.0166135720347713,0.0200034247254312
"92",9.2,0.0237826278458955,0.0151221227595949,0.018972840902894
"93",9.3,0.0232064487940609,0.0137390403997799,0.01799090280236
"94",9.4,0.0226471173095846,0.0124593085967053,0.0170556561126272
"95",9.5,0.0221040580269685,0.011277825894557,0.0161651973399446
"96",9.6,0.0215767178280243,0.0101894496957784,0.0153176750308098
"97",9.7,0.021064564900158,0.00918903645130021,0.0145112906721194
"98",9.8,0.0205670878363474,0.00827147801710501,0.0137442993002453
"99",9.9,0.0200837947750417,0.00743173416250369,0.0130150098483557
"100",10,0.0196142125782715,0.00666486126433949,0.012321785259164
