a,b,targetPC,nLS,nCol,xreef,yreef,SFDmu,SFDsig,prevalence,sizeprev,BTstptx,BTstpty,BTlength,BTwidth,ETstptx,ETstpty,ETcclength,ETccwidth,ETdclength,ETdcwidth,LIstptx,LIstpty,LIlength
-0.09,0.553,0.1,500,452,50,25,-3.5,1.8,,,,,,,,,,,,,,,
-0.09,0.553,0.2,500,904,50,25,-3.5,1.8,,,,,,,,,,,,,,,
-0.09,0.553,0.4,500,1808,50,25,-3.5,1.8,,,,,,,,,,,,,,,
-0.09,0.553,0.6,500,2713,50,25,-3.5,1.8,,,,,,,,,,,,,,,
-0.09,0.553,0.8,500,3617,50,25,-3.5,1.8,,,,,,,,,,,,,,,
71.8,0.0005,0.1,500,1109,50,25,-1.5,0.2,,,,,,,,,,,,,,,
71.8,0.0005,0.2,500,2495,50,25,-1.5,0.2,,,,,,,,,,,,,,,
71.8,0.0005,0.4,500,3881,50,25,-1.5,0.2,,,,,,,,,,,,,,,
71.8,0.0005,0.6,500,4692,50,25,-1.5,0.2,,,,,,,,,,,,,,,
71.8,0.0005,0.8,500,5268,50,25,-1.5,0.2,,,,,,,,,,,,,,,
0.73,0.042,0.1,500,5935,50,25,-1.5,0.2,,,,,,,,,,,,,,,
0.73,0.042,0.2,500,11887,50,25,-1.5,0.2,,,,,,,,,,,,,,,
0.73,0.042,0.4,500,23792,50,25,-1.5,0.2,,,,,,,,,,,,,,,
0.73,0.042,0.6,500,35697,50,25,-1.5,0.2,,,,,,,,,,,,,,,
0.73,0.042,0.8,500,47602,50,25,-1.5,0.2,,,,,,,,,,,,,,,
